time	V(n015)	V(n017)
5.286267567270207e-003	-1.093230e+001	-1.103576e-006
5.323858446590891e-003	-1.092221e+001	-1.103573e-006
5.372686571590891e-003	-1.088941e+001	-1.103564e-006
5.387709037212576e-003	-1.086104e+001	-1.103556e-006
5.395307949083480e-003	-1.083029e+001	-1.103547e-006
5.399678692229990e-003	-1.080246e+001	-1.103539e-006
5.403811504192717e-003	-1.076877e+001	-1.103530e-006
5.407542357117308e-003	-1.073420e+001	-1.103521e-006
5.411937863768111e-003	-1.069058e+001	-1.103508e-006
5.415972083262354e-003	-1.064902e+001	-1.103497e-006
5.421040524289445e-003	-1.059543e+001	-1.103482e-006
5.427645218309614e-003	-1.052387e+001	-1.103462e-006
5.438434469804770e-003	-1.040316e+001	-1.103428e-006
5.460012972795081e-003	-1.015145e+001	-1.103358e-006
5.503169978775703e-003	-9.632388e+000	-1.103215e-006
5.551998103775703e-003	-9.052943e+000	-1.103056e-006
5.600826228775703e-003	-8.523442e+000	-1.102912e-006
5.649654353775703e-003	-8.090350e+000	-1.102795e-006
5.698482478775703e-003	-7.765275e+000	-1.102708e-006
5.716441691177260e-003	-7.683661e+000	-1.102686e-006
5.732924541434367e-003	-7.636838e+000	-1.102674e-006
5.747941354226203e-003	-7.612051e+000	-1.102667e-006
5.764234803445438e-003	-7.606454e+000	-1.102666e-006
5.788166874428536e-003	-7.638734e+000	-1.102674e-006
5.826918636986943e-003	-7.775829e+000	-1.102711e-006
5.875746761986943e-003	-8.068934e+000	-1.102789e-006
5.924574886986942e-003	-8.474648e+000	-1.102899e-006
5.973403011986942e-003	-8.959452e+000	-1.103030e-006
6.022231136986942e-003	-9.473980e+000	-1.103171e-006
6.071059261986942e-003	-9.965890e+000	-1.103307e-006
6.119887386986942e-003	-1.038470e+001	-1.103423e-006
6.168715511986942e-003	-1.071044e+001	-1.103514e-006
6.186865970332549e-003	-1.079605e+001	-1.103538e-006
6.197148898933235e-003	-1.082639e+001	-1.103546e-006
6.208202193065633e-003	-1.084648e+001	-1.103552e-006
6.215290796622136e-003	-1.085408e+001	-1.103554e-006
6.224852541988677e-003	-1.085947e+001	-1.103555e-006
6.233743799475487e-003	-1.086110e+001	-1.103556e-006
