time	V(vin)	I(D1)	I(D2)	I(D6)
5.477451210539259e-002	4.929706e+000	2.674757e-003	1.067201e-002	-5.297212e-011
5.494192281967830e-002	4.944773e+000	2.802461e-003	1.054431e-002	2.304108e-010
5.513723531967830e-002	4.962351e+000	2.951093e-003	1.039568e-002	2.163388e-010
5.523489156967831e-002	4.971140e+000	3.025309e-003	1.032146e-002	2.091209e-010
5.533254781967831e-002	4.979929e+000	3.099451e-003	1.024732e-002	2.010665e-010
5.543020406967831e-002	4.988719e+000	3.173514e-003	1.017326e-002	1.917121e-010
5.552786031967831e-002	4.997508e+000	3.247495e-003	1.009928e-002	1.806428e-010
5.562551656967831e-002	5.006297e+000	3.321388e-003	1.002539e-002	1.675649e-010
5.572317281967831e-002	5.015086e+000	3.395190e-003	9.951583e-003	1.524646e-010
5.582082906967831e-002	5.023875e+000	3.468898e-003	9.877875e-003	1.358184e-010
5.591848531967832e-002	5.032664e+000	3.542508e-003	9.804265e-003	1.186476e-010
5.601614156967832e-002	5.041453e+000	3.616018e-003	9.730755e-003	1.022555e-010
5.611379781967832e-002	5.050242e+000	3.689425e-003	9.657349e-003	8.772594e-011
5.621145406967832e-002	5.059031e+000	3.762725e-003	9.584049e-003	7.557534e-011
5.630911031967832e-002	5.067820e+000	3.835917e-003	9.510858e-003	6.577351e-011
5.640676656967832e-002	5.076609e+000	3.908997e-003	9.437777e-003	5.797890e-011
5.650442281967832e-002	5.085398e+000	3.981965e-003	9.364810e-003	5.178037e-011
5.660207906967833e-002	5.094187e+000	4.054818e-003	9.291957e-003	4.680490e-011
5.669973531967833e-002	5.102976e+000	4.127554e-003	9.219222e-003	4.276076e-011
5.699270406967833e-002	5.129344e+000	4.345042e-003	9.001735e-003	3.427928e-011
5.859705674824973e-002	5.273735e+000	5.514079e-003	7.832699e-003	2.522697e-011
6.020140942682112e-002	5.418127e+000	6.647322e-003	6.699459e-003	1.807749e-011
6.180576210539251e-002	5.562519e+000	7.744770e-003	5.602014e-003	1.283084e-011
6.341011478396391e-002	5.706910e+000	8.806424e-003	4.540364e-003	9.487022e-012
6.501446746253531e-002	5.851302e+000	9.832283e-003	3.514509e-003	8.046027e-012
6.661882014110671e-002	5.995694e+000	1.082235e-002	2.524450e-003	8.507859e-012
6.822317281967809e-002	6.140086e+000	1.177662e-002	1.570186e-003	1.087252e-011
6.853009246253522e-002	6.167708e+000	1.195607e-002	1.390736e-003	1.084757e-011
6.883701210539234e-002	6.195331e+000	1.213441e-002	1.212397e-003	1.082429e-011
6.914393174824947e-002	6.222954e+000	1.231164e-002	1.035168e-003	1.080268e-011
6.945085139110659e-002	6.250577e+000	1.248777e-002	8.590482e-004	1.078275e-011
6.975777103396372e-002	6.278200e+000	1.266279e-002	6.840387e-004	1.076449e-011
7.006469067682083e-002	6.305822e+000	1.283670e-002	5.101392e-004	1.074791e-011
7.037161031967797e-002	6.333445e+000	1.300951e-002	3.373496e-004	1.073300e-011
7.066457906967795e-002	6.359812e+000	1.317348e-002	1.734475e-004	1.071763e-011
7.076223531967794e-002	6.368601e+000	1.322792e-002	1.190786e-004	1.071085e-011
7.085989156967794e-002	6.377390e+000	1.328225e-002	6.503803e-005	1.069563e-011
7.095754781967793e-002	6.386179e+000	1.333641e-002	1.476639e-005	1.053774e-011
7.099521099031031e-002	6.389569e+000	1.335716e-002	1.675953e-007	1.029215e-011
7.099599495017964e-002	6.389639e+000	1.335759e-002	4.691850e-008	1.028011e-011
7.099756286991829e-002	6.389781e+000	1.335844e-002	3.225446e-008	1.024759e-011
7.100069870939559e-002	6.390063e+000	1.336014e-002	1.593761e-008	1.018237e-011
7.100697038835017e-002	6.390627e+000	1.336355e-002	4.421921e-009	1.005285e-011
7.101951374625937e-002	6.391756e+000	1.337038e-002	4.733261e-011	9.796565e-012
7.102032882864778e-002	6.391829e+000	1.337082e-002	1.190491e-011	9.780109e-012
7.102195899342460e-002	6.391976e+000	1.337170e-002	1.106632e-011	9.747551e-012
7.102521932297826e-002	6.392270e+000	1.337348e-002	1.054274e-011	9.682905e-012
7.103173998208555e-002	6.392857e+000	1.337702e-002	1.046042e-011	9.555448e-012
7.104478130030013e-002	6.394030e+000	1.338411e-002	1.073205e-011	9.307639e-012
7.107086393672930e-002	6.396378e+000	1.339827e-002	1.153928e-011	8.838738e-012
7.112302920958764e-002	6.401073e+000	1.342657e-002	1.397066e-011	7.993131e-012
7.122068545958764e-002	6.409862e+000	1.347947e-002	1.980001e-011	6.581959e-012
7.124896173955532e-002	6.412406e+000	1.349477e-002	2.138908e-011	6.212809e-012
7.125107330918992e-002	6.412597e+000	1.349591e-002	2.144326e-011	6.187252e-012
7.129767756881064e-002	6.416791e+000	1.352134e-002	2.144606e-011	5.677544e-012
7.134428182843138e-002	6.420985e+000	1.354641e-002	2.144809e-011	5.207575e-012
7.139088608805209e-002	6.425180e+000	1.357113e-002	2.144936e-011	4.777344e-012
7.143749034767281e-002	6.429374e+000	1.359549e-002	2.144986e-011	4.386852e-012
7.148409460729353e-002	6.433569e+000	1.361950e-002	2.144960e-011	4.036098e-012
7.153069886691427e-002	6.437763e+000	1.364315e-002	2.144857e-011	3.725083e-012
7.157730312653499e-002	6.441957e+000	1.366645e-002	2.144678e-011	3.453806e-012
7.167495937653498e-002	6.450747e+000	1.370900e-002	2.144507e-011	2.996962e-012
7.177261562653498e-002	6.459536e+000	1.374239e-002	2.144342e-011	2.695009e-012
7.187027187653497e-002	6.468325e+000	1.376639e-002	2.144209e-011	2.513865e-012
7.196792812653496e-002	6.477114e+000	1.378334e-002	2.144107e-011	2.409758e-012
7.206558437653496e-002	6.485903e+000	1.379580e-002	2.144030e-011	2.349893e-012
7.216324062653495e-002	6.494692e+000	1.380543e-002	2.143969e-011	2.316143e-012
7.235855312653494e-002	6.512270e+000	1.381967e-002	2.143875e-011	2.292791e-012
7.265152187653493e-002	6.538637e+000	1.383428e-002	2.143776e-011	2.315348e-012
7.286078526939206e-002	6.557471e+000	1.384144e-002	2.143726e-011	2.358734e-012
7.307004866224919e-002	6.576305e+000	1.384789e-002	2.143681e-011	2.409459e-012
7.327931205510632e-002	6.595138e+000	1.385364e-002	2.143640e-011	2.467524e-012
7.348857544796345e-002	6.613972e+000	1.385868e-002	2.143605e-011	2.532929e-012
7.369783884082058e-002	6.632806e+000	1.386301e-002	2.143574e-011	2.605673e-012
7.390710223367770e-002	6.651639e+000	1.386664e-002	2.143547e-011	2.685756e-012
7.411636562653484e-002	6.670473e+000	1.386957e-002	2.143526e-011	2.773179e-012
7.464649955510624e-002	6.718185e+000	1.387626e-002	2.143477e-011	3.014092e-012
7.517663348367763e-002	6.765897e+000	1.388231e-002	2.143432e-011	3.271730e-012
7.570676741224904e-002	6.813609e+000	1.388770e-002	2.143392e-011	3.546093e-012
7.623690134082044e-002	6.861321e+000	1.389244e-002	2.143357e-011	3.837182e-012
7.676703526939184e-002	6.909033e+000	1.389653e-002	2.143326e-011	4.144995e-012
7.729716919796323e-002	6.956745e+000	1.389997e-002	2.143300e-011	4.469534e-012
7.782730312653463e-002	7.004457e+000	1.390276e-002	2.143278e-011	4.810798e-012
7.911078526939171e-002	7.119971e+000	1.390891e-002	2.143231e-011	5.691793e-012
8.039426741224877e-002	7.235484e+000	1.391447e-002	2.143188e-011	6.489672e-012
8.167774955510584e-002	7.350998e+000	1.391945e-002	2.143150e-011	7.204436e-012
8.296123169796291e-002	7.466511e+000	1.392385e-002	2.143116e-011	7.836083e-012
8.424471384081998e-002	7.582024e+000	1.392767e-002	2.143086e-011	8.384615e-012
8.552819598367706e-002	7.697538e+000	1.393091e-002	2.143060e-011	8.850030e-012
8.681167812653412e-002	7.813051e+000	1.393357e-002	2.143039e-011	9.232330e-012
9.208511562653382e-002	8.287661e+000	1.394351e-002	2.142960e-011	1.000762e-011
9.320118705510519e-002	8.388107e+000	1.394525e-002	2.142947e-011	1.007728e-011
9.431725848367654e-002	8.488553e+000	1.394691e-002	2.142933e-011	1.013771e-011
9.543332991224791e-002	8.589000e+000	1.394850e-002	2.142921e-011	1.018890e-011
9.654940134081928e-002	8.689446e+000	1.395002e-002	2.142908e-011	1.023085e-011
9.766547276939065e-002	8.789893e+000	1.395146e-002	2.142897e-011	1.026357e-011
9.878154419796201e-002	8.890339e+000	1.395282e-002	2.142886e-011	1.028706e-011
9.989761562653338e-002	8.990786e+000	1.395412e-002	2.142875e-011	1.030131e-011
9.999527187653337e-002	8.999575e+000	1.395423e-002	2.142874e-011	1.030281e-011
1.000000000000000e-001	9.000000e+000	1.395424e-002	2.142874e-011	1.030286e-011
